RANKED SIMILARITIES: 1
13 44 1.0204931322
13 89 1.02130914868
13 69 1.03333015015
13 95 1.04130589801
13 63 1.06024096457
13 33 1.06214638179
13 68 1.06932001419
13 31 1.0907526569
13 3 1.09358025652
13 94 1.09898236741
13 51 1.10424515394
13 97 1.11170541975
13 73 1.12244080059
13 14 1.14087548769
13 47 1.21943149883
13 15 1.22813407127
13 82 1.23521838618
13 83 1.25962501357
13 16 1.26751810054
13 12 1.28345175315
13 85 1.32201872252
13 19 1.33171171016
13 65 1.33308302216
13 92 1.34418130407
13 9 1.34805729844
13 4 1.3506552966
13 56 1.36008388457
13 40 1.37394197802
13 91 1.41756850512
13 8 1.43306301473
13 76 1.4372235337
13 54 1.4896939414
13 18 1.495299353
13 45 1.5328227578
13 27 1.54170973893
13 37 1.58647560986
13 75 1.58970819488
13 79 1.59478880526
13 7 1.60778660809
13 2 1.61970566114
13 88 1.63058012243
13 58 1.7400476315
13 41 1.74376525107
13 34 1.8165788698
13 80 1.82067124721
13 90 1.82324701671
13 30 1.8384329914
13 72 1.84340847383
13 35 1.86427430559
13 20 1.86719574196
13 71 1.86886345389
13 57 1.87170744002
13 26 1.87561679025
13 59 1.87925739148
13 62 1.87928762783
13 77 1.89102758964
13 96 1.90073823237
13 46 1.90321814423
13 43 1.90578637701
13 28 1.90935402261
13 66 1.9114660199
13 86 1.91385972795
13 93 1.91468091861
13 74 1.91809583675
13 49 1.92072586667
13 24 1.92149057394
13 17 1.92352241927
13 61 1.92757883659
13 70 1.93153016146
13 42 1.93175324527
13 22 1.93245533785
13 23 1.93335542169
13 10 1.94209821603
13 84 1.94616703431
13 81 1.9502198042
13 60 1.95219431062
13 36 1.95426347978
13 11 1.95433999725
13 50 1.95703462306
13 21 1.95913588168
13 38 1.96481541758
13 39 1.9670532289
13 25 inf
13 48 inf
13 52 inf
13 53 inf
13 55 inf
13 64 inf
13 67 inf
13 87 inf
RANKED SIMILARITIES: 14
14 95 0.129060056499
14 32 0.134932435698
14 89 0.140037763154
14 44 0.157639580868
14 6 0.175385876292
14 33 0.192371018001
14 94 0.196222346589
14 63 0.204577700314
14 3 0.204927525254
14 69 0.208592241779
14 68 0.210971182556
14 97 0.2176975256
14 51 0.221323873799
14 73 0.227758957332
14 31 0.250178744851
14 16 0.339443828548
14 83 0.379483498324
14 40 0.50915741359
14 8 0.519064290511
14 92 0.523539693424
